"GEOID","king_county","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53011041317,FALSE,3,NA,0.2525923848152,0.1164021119475,0.3600248396397,0.243006445467467,3,NA,4,NA,4,NA,2,NA,3,NA,1,NA,3,NA
53011041319,FALSE,3,NA,0.3393598794937,0.3240740895271,0.3413804769516,0.334938148657467,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA
53011041320,FALSE,3,NA,0.2487695813179,0.1233352571726,0.3372602760792,0.2364550381899,3,NA,3,NA,4,NA,3,NA,3,NA,4,NA,2,NA
53011041321,FALSE,2,NA,0.2846715450287,0.3316115736961,0.431000649929,0.349094589551267,2,NA,1,NA,2,NA,2,NA,3,NA,1,NA,1,NA
53011041322,FALSE,4,NA,0.2526443004608,0.0881801098585,0.2348518371582,0.1918920824925,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA
53011041323,FALSE,4,NA,0.1856060624123,0.1458805799484,0.2859692871571,0.2058186431726,4,NA,4,NA,4,NA,3,NA,4,NA,3,NA,2,NA
53011041325,FALSE,2,NA,0.5458989739418,0.4052206277847,0.58151948452,0.5108796954155,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,1,NA
53011041326,FALSE,2,NA,0.2329858988523,0.2606473565102,0.392031878233,0.2952217111985,3,NA,2,NA,2,NA,3,NA,2,NA,3,NA,3,NA
53011041328,FALSE,2,NA,0.5228402614594,0.3424657583237,0.5643853545189,0.476563791434,1,NA,2,NA,3,NA,1,NA,1,NA,3,NA,3,NA
53011041329,FALSE,2,NA,0.5063096284866,0.4162113070488,0.5098124742508,0.477444469928733,1,NA,3,NA,3,NA,1,NA,1,NA,1,NA,4,NA
53011041330,FALSE,3,NA,0.2078147679567,0.2039525657892,0.278513610363,0.2300936480363,3,NA,2,NA,2,NA,3,NA,3,NA,4,NA,2,NA
53011041331,FALSE,3,NA,0.1974921673536,0.1580698788166,0.261296659708,0.205619568626067,4,NA,4,NA,4,NA,4,NA,4,NA,2,NA,1,NA
