"GEOID","king_county","RPL_THEMES","RPL_THEMES_USA","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","AFFLUENCE16_20","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53049950702,FALSE,0.7376,0.6852,3,NA,0.3028734326363,0.2905911803246,0.1552631556988,0.4627659618855,0.3028734326363,3,NA,47.6135040745052,4,NA,15.7379518072289,1,NA,31.7771084337349,4,NA,26779,4,NA,11.1111111111111,4,NA,12.2235157159488,4,NA
53049950801,FALSE,0.366,0.3441,2,NA,0.2496169358492,0.2570725679398,0.0945179611444,0.3972602784634,0.2496169358492,3,NA,29.8285714285714,2,NA,9.86072423398329,1,NA,14.5403899721448,2,NA,28375,4,NA,6.41025641025641,3,NA,6.97142857142857,3,NA
53049950802,FALSE,0.5486,0.5068,3,NA,0.2334844022989,0.1411960124969,0.0493562221527,0.5099009871483,0.233484407265967,3,NA,17.2523961661342,1,NA,20.5185185185185,2,NA,20.4444444444444,3,NA,21582,4,NA,17.0431211498973,4,NA,0,1,NA
53049990100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53051970100,FALSE,0.6097,0.5867,3,NA,0.2784243822098,0.1772068440914,0.2374581992626,0.4206081032753,0.278424382209767,3,NA,18.7768240343348,1,NA,16.6327568667345,1,NA,17.3380928097909,3,NA,31582,3,NA,8.35913312693498,4,NA,4.6137339055794,3,NA
53051970200,FALSE,0.6408,0.5788,3,NA,0.236156269908,0.2086365818977,0.1384615302086,0.3613707125187,0.236156274875,3,NA,20.1173512154233,1,NA,12.8059595601277,1,NA,25.5962976148095,4,NA,27378,4,NA,9.23656927426956,4,NA,1.84409052808047,2,NA
53051970300,FALSE,0.7641,0.7181,4,NA,0.1590660214424,0.1427385956049,0.125,0.2094594538212,0.159066016475367,4,NA,26.8754552075747,2,NA,41.2364563416189,3,NA,21.4857508805636,3,NA,28237,4,NA,2.77372262773723,2,NA,7.35615440640932,3,NA
53051970400,FALSE,0.4672,0.4077,2,NA,0.2179166674614,0.2000000029802,0.1887499988079,0.2649999856949,0.217916662494333,4,NA,24.8535564853557,2,NA,20.3579418344519,2,NA,18.9410887397465,3,NA,29837,4,NA,9.33816863100635,4,NA,0.836820083682008,1,NA
53051970500,FALSE,0.3614,0.3282,2,NA,0.3222863078117,0.3295510709286,0.1917808204889,0.4455270171165,0.322286302844667,3,NA,22.5339366515837,1,NA,13.5841170323929,1,NA,12.6088470916057,2,NA,34826,3,NA,4.32203389830508,2,NA,5.70135746606335,3,NA
53053060200,FALSE,0.8337,0.808,4,NA,0.4310775399208,0.2841020524502,0.429951697588,0.5791788697243,0.431077539920833,2,NA,45.0236966824645,4,NA,64.0350877192982,4,NA,41.6172734970364,4,NA,28194,4,NA,7.96221322537112,4,NA,4.739336492891,3,NA
